Kanji,Japanese reading,Phonetic reading,Strokes,Meaning,Source,Section
山,やま,サン,3,mountain,UDEMY_KANJI_N5,1
川,かわ,セン,3,river,UDEMY_KANJI_N5,1
天,,テン,4,heaven,UDEMY_KANJI_N5,1
気,,キ,6,spirit,UDEMY_KANJI_N5,1
田,た,デン,5,rice field,UDEMY_KANJI_N5,1
雨,あめ,ウ,8,rain,UDEMY_KANJI_N5,1
一,ひと（つ）,イチ/イッ-,1,one,UDEMY_KANJI_N5,2
二,ふた（つ）,ニ,2,two,UDEMY_KANJI_N5,2
三,みっ（つ）,サン,3,three,UDEMY_KANJI_N5,2
四,よっ（つ）/よん/よ,シ,5,four,UDEMY_KANJI_N5,2
五,いつ（つ）,ゴ,4,five,UDEMY_KANJI_N5,2
六,むっ（つ）,ロク/ロッ-,4,six,UDEMY_KANJI_N5,2
七,なな（つ）,シチ,2,seven,UDEMY_KANJI_N5,2
八,やっ（つ）,ハチ,2,eight,UDEMY_KANJI_N5,2
九,ここの（つ）,キュウ/ク,2,nine,UDEMY_KANJI_N5,2
十,とお,ジュウ,2,ten,UDEMY_KANJI_N5,2
百,,ヒャク,6,hundred,UDEMY_KANJI_N5,3
千,ち,セン,3,thousand,UDEMY_KANJI_N5,3
万,,マン/バン,3,ten thousand,UDEMY_KANJI_N5,3
円,,エン,4,circle/ yen,UDEMY_KANJI_N5,3
前,まえ,ゼン,9,front/Before,UDEMY_KANJI_N5,3
後,うし（ろ）/あと,ゴ/コウ,9,back/after,UDEMY_KANJI_N5,3
左,ひだり,サ,5,left,UDEMY_KANJI_N5,3
右,みぎ,ウ/ユウ,5,right,UDEMY_KANJI_N5,3
上,うえ/あ（がる）,ジョウ,3,above/on,UDEMY_KANJI_N5,3
下,した/さ（がる）,カ/ゲ,3,under,UDEMY_KANJI_N5,3
目,め,モク,5,eye,UDEMY_KANJI_N5,4
口,くち/ぐち,コウ,3,mouth,UDEMY_KANJI_N5,4
耳,みみ,ジ,6,ear,UDEMY_KANJI_N5,4
手,て,シュ,4,hand,UDEMY_KANJI_N5,4
足,あし/た（りる）,ソク,7,leg/foot,UDEMY_KANJI_N5,4
力,ちから,リョク/リキ,2,power,UDEMY_KANJI_N5,4
父,ちち,フ,4,father,UDEMY_KANJI_N5,4
母,はは,ボ,5,mother,UDEMY_KANJI_N5,4
男,おとこ,ダン/ナン,7,man,UDEMY_KANJI_N5,4
女,おんな,ジョ,3,woman,UDEMY_KANJI_N5,4
子,こ,シ,3,child,UDEMY_KANJI_N5,4
人,ひと,ジン/ニン,2,person,UDEMY_KANJI_N5,4
名,な,メイ,6,name,UDEMY_KANJI_N5,4
月,つき,ゲツ/-ガツ,4,つき：moon/つき：month,UDEMY_KANJI_N5,5
火,ひ,カ,4,fire,UDEMY_KANJI_N5,5
水,みず,スイ,4,water,UDEMY_KANJI_N5,5
木,き,モク,4,tree,UDEMY_KANJI_N5,5
金,かね,キン,8,きん：gold/かね：money,UDEMY_KANJI_N5,5
土,つち,ド/ト,3,soil,UDEMY_KANJI_N5,5
日,ひ/び,ニチ/ニ/ジツ,4,ひ：sun/ひ：day,UDEMY_KANJI_N5,5
先,さき,セン,6,さき：foregoing/まえ：previous,UDEMY_KANJI_N5,5
生,う（まれる）/い（きる）,セイ,5,うまれる：be born/いきる：live,UDEMY_KANJI_N5,5
学,まな（ぶ）,ガク/ガッ-,8,study,UDEMY_KANJI_N5,5
校,,コウ,10,school,UDEMY_KANJI_N5,5
本,もと,ホン/-ポン/-ボン,5,ほん：book/もと：root /もと：origin,UDEMY_KANJI_N5,5
友,とも,ユウ,4,friend,UDEMY_KANJI_N5,5
年,とし,ネン,6,ねん：year/とし：age,UDEMY_KANJI_N5,6
毎,,マイ,6,every,UDEMY_KANJI_N5,6
時,とき,ジ,10,time,UDEMY_KANJI_N5,6
分,わ（ける）/わ（かる）,ブン/フン/-プン,4,わける：divide/わかる：understand/ふん：minute,UDEMY_KANJI_N5,6
午,,ゴ,4,noon,UDEMY_KANJI_N5,6
間,あいだ/ま,カン,12,between,UDEMY_KANJI_N5,6
今,いま,コン,4,now,UDEMY_KANJI_N5,6
半,,ハン,5,half,UDEMY_KANJI_N5,6
週,,シュウ,11,week,UDEMY_KANJI_N5,6
朝,あさ,チョウ,12,morning,UDEMY_KANJI_N5,6
昼,ひる,チュウ,9,noon,UDEMY_KANJI_N5,6
夕,ゆう,,3,evening,UDEMY_KANJI_N5,6
夜,よる/よ,ヤ,8,night,UDEMY_KANJI_N5,6
高,たか（い）,コウ,10,high/expensive,UDEMY_KANJI_N5,7
大,おお（きい）,ダイ/タイ,3,big,UDEMY_KANJI_N5,7
中,なか,チュウ/-ジュウ,4,middle,UDEMY_KANJI_N5,7
小,ちい（さい）/お/こ,ショウ,3,small,UDEMY_KANJI_N5,7
長,なが（い）,チョウ,8,long/chief,UDEMY_KANJI_N5,7
白,しろ/しろ（い）,ハク,5,white,UDEMY_KANJI_N5,7
安,やす（い）,アン,6,cheap/safe,UDEMY_KANJI_N5,7
新,あたら（しい）,シン,13,new,UDEMY_KANJI_N5,7
古,ふる（い）,コ,5,old,UDEMY_KANJI_N5,7
多,おお（い）,タ,6,many/much,UDEMY_KANJI_N5,7
少,すく（ない）/すこ-し,ショウ,4,few/little,UDEMY_KANJI_N5,7
早,はや（い）,ソウ,6,early,UDEMY_KANJI_N5,7
言,い（う）,ゲン/ゴン,7,say,UDEMY_KANJI_N5,8
話,はな（す）/はなし,ワ,13,speak,UDEMY_KANJI_N5,8
語,かた（る）,ゴ,14,word,UDEMY_KANJI_N5,8
読,よ（む）,ドク,14,read,UDEMY_KANJI_N5,8
書,か（く）,ショ,10,write/book,UDEMY_KANJI_N5,8
見,み（る）,ケン,7,see,UDEMY_KANJI_N5,8
聞,き（く）/き（こえる）,ブン,14,listen,UDEMY_KANJI_N5,8
行,い（く）/おこな（う）,コウ/ギョウ,6,go,UDEMY_KANJI_N5,8
来,く（る）/こ（ない）/き（ます）,ライ,7,come,UDEMY_KANJI_N5,8
出,で（る）/だ（す）,シュツ/シュッ-,5,go out/take out,UDEMY_KANJI_N5,8
入,はい（る）/い（れる）,ニュウ,2,enter/put in,UDEMY_KANJI_N5,8
食,た（べる）,ショク,9,eat,UDEMY_KANJI_N5,8
飲,の（む）,イン,12,drink,UDEMY_KANJI_N5,8
立,た（つ）,リツ/リッ-,5,stand,UDEMY_KANJI_N5,8
休,やす（む）,キュウ,6,rest,UDEMY_KANJI_N5,8
買,か（う）,バイ,12,buy,UDEMY_KANJI_N5,8
電,,デン,13,electricity,UDEMY_KANJI_N5,9
車,くるま,シャ,7,car,UDEMY_KANJI_N5,9
門,,モン,8,gate,UDEMY_KANJI_N5,9
馬,うま,バ,10,horse,UDEMY_KANJI_N5,9
魚,さかな,ギョ,11,fish,UDEMY_KANJI_N5,9
道,みち,ドウ,12,street/road,UDEMY_KANJI_N5,9
会,あ（う）,カイ,6,meet,UDEMY_KANJI_N5,9
社,,シャ/-ジャ,7,company/shrine,UDEMY_KANJI_N5,9
店,みせ,テン,8,shop,UDEMY_KANJI_N5,9
駅,,エキ,14,station,UDEMY_KANJI_N5,9
花,はな,カ,7,flower,UDEMY_KANJI_N5,9
家,いえ/や,カ/ケ,10,house,UDEMY_KANJI_N5,9
何,なに/なん,,7,what,UDEMY_KANJI_N5,9
外,そと,ガイ,5,outside,UDEMY_KANJI_N5,9
国,くに,コク/-ゴク,8,country,UDEMY_KANJI_N5,9
方,かた/-がた,ホウ,4,direction/way,UDEMY_KANJI_N5,9
英,ひで,エイ,8,superior,UDEMY_KANJI_N5,9